"gid","osm_id","class_id","source","target","length","reverse","maxspeed_forward","maxspeed_backward","priority","geom"
"15361","892964264","110","5755083535","5755083530","82.21281973292874","1",,,"1.6","LINESTRING(126.6120902 45.7493487, 126.6120728 45.7498639)"
"15362","892964265","109","8299350123","8299350125","312.8009688848709","-1",,,"1.5","LINESTRING(126.6012306 45.7316879, 126.601412 45.731805, 126.6027994 45.7333091)"
"15363","892964266","109","8299350126","9910982576","327.47957446857595","-1",,,"1.5","LINESTRING(126.6021403 45.7335585, 126.6022783 45.7331829, 126.6022519 45.7330692, 126.6011864 45.7318844, 126.6011169 45.7317408)"
"15364","892989274","104","8299534913","2476377821","88.50617267275157","-1",,,"1.1","LINESTRING(126.6036046 45.7334425, 126.6029141 45.7337176)"
"15365","892989275","104","2476377819","8299350125","31.4743100140817","-1",,,"1.1","LINESTRING(126.6025501 45.7334022, 126.6027994 45.7333091)"
"15366","892989275","104","8299350125","8299534916","69.1658144477162","-1",,,"1.1","LINESTRING(126.6027994 45.7333091, 126.6033467 45.7331038)"
"15367","892989276","104","403109514","8299534914","111.71268492546498","-1",,,"1.1","LINESTRING(126.6044097 45.7329874, 126.6035316 45.7333265)"
"15368","892989277","104","8299534915","403110622","179.37724929789957","-1",,,"1.1","LINESTRING(126.6023956 45.7336216, 126.6037994 45.7330694)"
"15369","892989277","104","403110622","6312787197","316.666085792979","-1",,,"1.1","LINESTRING(126.6037994 45.7330694, 126.6062836 45.732102)"
"15370","892989278","104","8299565617","9075898640","358.9058184166411","-1",,,"1.1","LINESTRING(126.5854461 45.7403655, 126.5851752 45.7405358, 126.584944 45.7407063, 126.5846886 45.7409906, 126.5845764 45.7412103, 126.5845255 45.7414114, 126.5845631 45.7417787, 126.5847188 45.7420936, 126.5849247 45.7423415)"
"15371","892989280","104","403118757","403118301","947.8818243702781","-1",,,"1.1","LINESTRING(126.5897261 45.7488302, 126.5896793 45.7487296, 126.5896007 45.7485996, 126.5893626 45.748261, 126.5872058 45.7456285, 126.5859496 45.7440212, 126.5856035 45.7436358)"
